sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
S0001	geotraces	GA02	PE319	1608554	631397	2010-05-10	12:13:00	49.7225	-42.4467	10	north atlantic	A	epipelagic
S0002	geotraces	GA02	PE319	1608554	631391	2010-05-10	12:13:00	49.7225	-42.4467	50	north atlantic	A	epipelagic
S0003	geotraces	GA02	PE319	1608554	631388	2010-05-10	12:13:00	49.7225	-42.4467	75	north atlantic	A	epipelagic
S0004	geotraces	GA02	PE319	1608554	631385	2010-05-10	12:13:00	49.7225	-42.4467	101	north atlantic	A	epipelagic
S0005	geotraces	GA02	PE319	1608554	631382	2010-05-10	12:13:00	49.7225	-42.4467	152	north atlantic	A	epipelagic
S0006	geotraces	GA02	PE319	1608554	631379	2010-05-10	12:13:00	49.7225	-42.4467	199	north atlantic	A	epipelagic
S0008	geotraces	GA02	PE319	1608603	631829	2010-05-12	20:39:00	46.312	-39.658	10	north atlantic	A	epipelagic
S0009	geotraces	GA02	PE319	1608603	631823	2010-05-12	20:39:00	46.312	-39.658	49	north atlantic	A	epipelagic
S0010	geotraces	GA02	PE319	1608603	631820	2010-05-12	20:39:00	46.312	-39.658	73	north atlantic	A	epipelagic
S0011	geotraces	GA02	PE319	1608603	631817	2010-05-12	20:39:00	46.312	-39.658	100	north atlantic	A	epipelagic
S0012	geotraces	GA02	PE319	1608603	631814	2010-05-12	20:39:00	46.312	-39.658	153	north atlantic	A	epipelagic
S0013	geotraces	GA02	PE319	1608603	631811	2010-05-12	20:39:00	46.312	-39.658	198	north atlantic	A	epipelagic
S0015	geotraces	GA02	PE319	1608687	632891	2010-05-20	13:30:00	36.2067	-53.2681	8	north atlantic	A	epipelagic
S0016	geotraces	GA02	PE319	1608687	632885	2010-05-20	13:30:00	36.2067	-53.2681	50	north atlantic	A	epipelagic
S0017	geotraces	GA02	PE319	1608687	632882	2010-05-20	13:30:00	36.2067	-53.2681	74	north atlantic	A	epipelagic
S0018	geotraces	GA02	PE319	1608687	632879	2010-05-20	13:30:00	36.2067	-53.2681	102	north atlantic	A	epipelagic
S0019	geotraces	GA02	PE319	1608687	632876	2010-05-20	13:30:00	36.2067	-53.2681	151	north atlantic	A	epipelagic
S0020	geotraces	GA02	PE319	1608687	632873	2010-05-20	13:30:00	36.2067	-53.2681	199	north atlantic	A	epipelagic
S0021	geotraces	GA02	PE319	1608673	632459	2010-05-18	13:22:00	37.5673	-50.6855	10	north atlantic	A	epipelagic
